Variation,v_ego,v_target,t_cut_in,t_cut_out,y_cut_in,R_cut_in
3,22,10,1.35,1,2.7,4.66
4,22,10,1.35,1,2.7,5.58
24,22,10,1.35,1,3.26,1.9
42,22,10,1.35,1.1,2.84,1.9
58,22,10,1.35,1.1,3.12,5.58
61,22,10,1.35,1.1,3.26,2.82
66,22,10,1.35,1.1,3.4,1.9
76,22,10,1.35,1.2,2.7,5.58
78,22,10,1.35,1.2,2.84,1.9
82,22,10,1.35,1.2,2.84,5.58
88,22,10,1.35,1.2,2.98,5.58
126,22,10,1.35,1.3,3.12,1.9
135,22,10,1.35,1.3,3.26,4.66
156,22,10,1.35,1.4,2.98,1.9
180,22,10,1.35,1.5,2.7,1.9
193,22,10,1.35,1.5,2.98,2.82
204,22,10,1.35,1.5,3.26,1.9
211,22,10,1.35,1.5,3.4,2.82
213,22,10,1.35,1.5,3.4,4.66
230,22,10,1.68,1,2.98,3.74
283,22,10,1.68,1.1,3.4,2.82
307,22,10,1.68,1.2,3.12,2.82
320,22,10,1.68,1.2,3.4,3.74
325,22,10,1.68,1.3,2.7,2.82
341,22,10,1.68,1.3,2.98,6.5
353,22,10,1.68,1.3,3.26,6.5
357,22,10,1.68,1.3,3.4,4.66
362,22,10,1.68,1.4,2.7,3.74
366,22,10,1.68,1.4,2.84,1.9
370,22,10,1.68,1.4,2.84,5.58
372,22,10,1.68,1.4,2.98,1.9
377,22,10,1.68,1.4,2.98,6.5
384,22,10,1.68,1.4,3.26,1.9
400,22,10,1.68,1.5,2.7,5.58
430,22,10,1.68,1.5,3.4,5.58
472,22,10,2.01,1.1,2.7,5.58
496,22,10,2.01,1.1,3.26,5.58
498,22,10,2.01,1.1,3.4,1.9
506,22,10,2.01,1.2,2.7,3.74
545,22,10,2.01,1.3,2.7,6.5
549,22,10,2.01,1.3,2.84,4.66
564,22,10,2.01,1.3,3.26,1.9
584,22,10,2.01,1.4,2.84,3.74
592,22,10,2.01,1.4,2.98,5.58
601,22,10,2.01,1.4,3.26,2.82
626,22,10,2.01,1.5,2.98,3.74
637,22,10,2.01,1.5,3.26,2.82
662,22,10,2.34,1,2.98,3.74
673,22,10,2.34,1,3.26,2.82
702,22,10,2.34,1.1,3.12,1.9
705,22,10,2.34,1.1,3.12,4.66
716,22,10,2.34,1.1,3.4,3.74
725,22,10,2.34,1.2,2.7,6.5
730,22,10,2.34,1.2,2.84,5.58
744,22,10,2.34,1.2,3.26,1.9
754,22,10,2.34,1.2,3.4,5.58
758,22,10,2.34,1.3,2.7,3.74
805,22,10,2.34,1.4,2.98,2.82
816,22,10,2.34,1.4,3.26,1.9
821,22,10,2.34,1.4,3.26,6.5
829,22,10,2.34,1.5,2.7,2.82
861,22,10,2.34,1.5,3.4,4.66
867,22,10,2.67,1,2.7,4.66
868,22,10,2.67,1,2.7,5.58
875,22,10,2.67,1,2.84,6.5
900,22,10,2.67,1.1,2.7,1.9
